Name,Drug Groups,SMILES,ChEMBL ID
DB03311,experimental,CCC1=C(C(=O)C2=CC(Br)=C(O)C(Br)=C2)C2=C(O1)C=C(C=C2)S(=O)(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1,CHEMBL1232829
DB03312,approved; investigational,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O,CHEMBL31634
DB03313,experimental,[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CCC[C@@H](N)C(O)=O)C(O)=O,CHEMBL482858
DB03314,experimental,N[C@@H](CC1=CNC2=C1C=C(F)C=C2)C(O)=O,CHEMBL559973
DB03315,experimental,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@H]2O)C(=O)N1,
DB03316,experimental,C1COCCO1,CHEMBL453716
DB03317,experimental,CC(S)C1=C2C=C3C(C)=C(C(C)S)C4=[N+]3[Fe--]35N6C(=C4)C(C)=C(CCC(O)=O)C6=CC4=[N+]3C(=CC(N25)=C1C)C(C)=C4CCC(O)=O,
DB03318,experimental,[H]N=C1N(C)C=NC2=C1N=CN2[C@]1([H])O[C@]([H])(COP(O)(O)=O)[C@@]([H])(O)[C@@]1([H])O,
DB03319,experimental,[H][C@](N)(CC1=C(ON=C1[O-])C(C)(C)C)C(O)=O,
DB03320,experimental,N[C@@H](C[NH3+])C(O)=O,
DB03321,experimental,[H][C@]1(OC(=C[C@H](N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,CHEMBL52270
DB03322,experimental,CC(C)NC[C@@H](O)COC1=CC=CC2=C1C=CC=C2,CHEMBL275742
DB03323,experimental; investigational,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,
DB03325,experimental,[H]N([H])[C@@H](CC1=CC=C(O)C=C1)C(=O)N([H])S(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N=CN=C12)N([H])[H],CHEMBL1163085
DB03326,experimental,NC1=NC(=O)C2=C(N1)N(C=N2)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OC2CC(OC2CO)N2C=CC(N)=NC2=O)O1,
DB03327,experimental,[H][C@@](C)(NCC1=C(COP(O)(O)=O)C=NC(C)=C1O)P(O)(O)=O,
DB03328,experimental,S[Mo](=O)=O,
DB03329,experimental,SC1=NC=CC=C1,CHEMBL1235541
DB03330,experimental,N[C@@H](CCC(=O)N[C@@H](CS[C@@H](O)N(O)C1=CC=C(I)C=C1)C(=O)NCC(O)=O)C(O)=O,
DB03331,experimental,[H]N(CC1=CC=CC2=CC=CC=C12)C1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3N([H])C(=O)C3=CC(OC)=CC(OC)=C3)C2=NC=N1,CHEMBL303934
DB03332,experimental,NC1=NC2=C(N3[C@@H](COC3=O)CN2)C(=O)N1,
DB03333,experimental,NS(=O)(=O)C1=CC=C(NC(=S)OCCC2=CSC=C2)C=C1,
DB03335,experimental,C[C@H](O)CBr,
DB03336,experimental,OC1=CC(=CC(=C1O)[N+]([O-])=O)C(=O)CCN1CCN(CC1)C1=CC(=CC=C1)C(F)(F)F,CHEMBL387347
DB03337,experimental,NC(=N)C1=CC=C(NC(=O)NC2=CC=C(OC3=CC=CC=C3)C=C2)C=C1,CHEMBL1233097
DB03338,experimental,CCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,
DB03339,experimental,OCC1=CC=CC(I)=C1,
DB03340,experimental,[H][C@@](C)(CP(O)(=O)[C@@]([H])(N)CC(O)=O)C(O)=O,
DB03341,experimental,[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CCSCC(=O)N([H])CCC4=CN([H])C5=C4C=C(Br)C=C5)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1,
DB03342,experimental,CC(=O)NC1=CC=C(C=C1NC(N)N)C(O)=O,
DB03343,experimental,O[C@H](\C=C(/O)[O-])C([O-])=O,
DB03344,experimental,[H][C@]1(O)[C@]([H])(OP(O)(O)=O)[C@@]([H])(OP(O)(O)=O)[C@@]([H])(OP(O)(O)=O)[C@]([H])(OP(O)(O)=O)[C@@]1([H])OP(O)(O)=O,
DB03345,experimental,OCCS,CHEMBL254951
DB03346,experimental,OC1=C(Cl)C=C(C=C1Cl)C1=CC(Cl)=C(O)C(Cl)=C1,CHEMBL83116
DB03347,experimental,CCOP(=O)(OCC)OCC,CHEMBL1236251
DB03348,investigational,[H][C@]12CCCN[C@]11CC(C)=C[C@H]2CC2=C1C=CC(=O)N2,CHEMBL245079
DB03349,experimental,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C(Br)=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,CHEMBL1230617
DB03350,experimental,[NH3+][Co-3]([NH3+])([NH3+])([NH3+])([NH3+])[NH3+],
DB03351,experimental,CC1=C(CNC2=CC=CC3=NC=CC=C23)C=NC2=NC(N)=NC(N)=C12,CHEMBL151958
DB03352,experimental,N[C@@H](CS[As](O)(O)=O)C(O)=O,
DB03353,experimental; investigational,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])N=C(N)N2,CHEMBL1233598
DB03354,experimental,[H][C@]1(CO)O[C@@]([H])(C2=NN=C(C)O2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,CHEMBL540929
DB03355,experimental,[H]N([H])[C@@H]([C@@H](C)O)C(=O)N([H])S(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N=CN=C12)N([H])[H],CHEMBL1163068
DB03357,experimental,O[C@H](C(O)=O)C1=CC=CC=C1,CHEMBL58910
DB03358,experimental,[H]N([H])C1=NC(=O)C2=C(N1[H])N(CN2C)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,
DB03359,experimental,C[N+](C)(C)C1=CC=CC(=C1)C(O)(O)C(F)(F)F,
DB03360,experimental,[H][C@]1(CCCN1C(C)=O)C(O)=O,CHEMBL1234599
DB03361,experimental,[H][C@@](C)(O)[C@]12NC3=NC(C)=NC=C3CN1C(C)=C(CCOP(O)(=O)OP(O)(O)=O)S2,
DB03362,experimental,[H][C@](N)(CCCCN(C)C)C(O)=O,
DB03363,experimental,[H][C@]1(COP([O-])(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])([N+]3=CC=CC(=C3)C(C)=O)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,
DB03364,experimental,CSCC[C@@H](NC(N)=O)C(O)=O,
DB03365,experimental,COC1=CC2=NC=NC(NC3=CC(O)=CC=C3)=C2C=C1OC,CHEMBL127907
DB03366,experimental; investigational,N1C=CN=C1,CHEMBL540
DB03367,experimental,[H][C@](CC(O)=O)(NC(=O)C1=CC(=CS1)C1=CC=C(C=C1)C1=CC=NC=C1)C1=CC=CC=C1,CHEMBL508461
DB03368,experimental,CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,CHEMBL176467
DB03369,experimental,NC1=CC2=CC=CC=C2C2=CC=CC=C12,CHEMBL83088
DB03370,experimental,[H][C@@](C)(O)[C@@]([H])(CCC1=CC=CC(Cl)=C1Cl)N1C=NC(=C1)C(N)=O,CHEMBL328139
DB03371,experimental,[H][C@](N)(CCC(=O)O[C@@]1([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]1(O)F)C(O)=O,
DB03372,experimental,SCCC(=O)N1CCC2=C(C1)NC1=C2C=CC=C1,
DB03373,experimental,[H]N=C(C)N1CCC(CC1)OC1=CC2=C(C=C1)N=C(C)N2CC1=CC2=C(C=C1)C=CC(=C2)C(N)=[NH2+],
DB03374,experimental,[H][C@](N)(CC1=CC(I)=C(O)C(I)=C1)C(O)=O,CHEMBL1236469
DB03376,experimental,[H]N([H])[C@@H](C)C(=O)N([H])S(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N=CN=C12)N([H])[H],CHEMBL1163065
DB03378,experimental,,
DB03379,experimental,OC(=O)CCP(O)(O)=O,CHEMBL1088324
DB03380,experimental,[H][C@](N)(CC1=CC=C(O)C=C1)C(N)=O,
DB03381,experimental,CCCCCCCCCCCCCCCC=O,CHEMBL1235338
DB03382,experimental,[H][C@](N)(CS=O)C(O)=O,
DB03383,experimental,OC1CCN(CC1)C(=O)[C@H](CC1=CC=C(F)C=C1)NC(=O)C1=CC2=C(N1)C=CC(Cl)=C2,CHEMBL99889
DB03384,experimental,FC1=CC2=C(NC(=C2)C(=O)NCCS)C=C1,
DB03385,experimental,CC1=CNC=N1,CHEMBL1230309
DB03386,experimental,N[C@@H](CC1=CNC2=C1C(F)=CC=C2)C(O)=O,
DB03387,experimental,CC(C)N(O)C(=O)C(O)=O,
DB03388,experimental,CC(C)N(C(=O)C1=C(Cl)C=C(Cl)C=C1)C1=C(SC(=C1)C1=CC=CC=C1)C(O)=O,CHEMBL355048
DB03389,experimental,O[C@@H]1CO[C@H](O)[C@H](O)[C@H]1O,
DB03390,experimental,[H]N(CCC)C(=O)[C@H](O)[C@@H](O)C(O)=O,
DB03391,experimental,[H]\C(=C1\N=C(N(CC(O)=O)C1=O)[C@@]([H])(N)CCSC)C1=CC=C(O)C=C1,
DB03392,experimental,[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(NP(=O)(OC)OC)[C@]1([H])O,CHEMBL1233057
DB03393,experimental,[H][C@@]12CCCN(N1)C(=O)[C@H](CC1=CC(O)=CC=C1)NC(=O)[C@@H](NC(=O)[C@H](CCC(C)=O)[C@H](O)[C@@H](C)[C@@H](O)\C=C\C=C\C[C@H](OC2=O)C(\C)=C\C=C\CC[C@H](C)[C@@H](O)C[C@@H]1O[C@@]2(NC(=O)[C@@H](CC)C[C@@H]2C)[C@@H](C)[C@@H](O)[C@H]1C)C(C)C,CHEMBL410807
DB03394,experimental,OCCOCCOCCOCCOCCOCCOCCO,
DB03395,experimental,COC1=CC=C(C[C@H](NC(=O)CC(C)(C)N)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)C=C1,CHEMBL300337
DB03396,experimental,[H]N([C@H]1CC[C@@H](O)CN([H])C1=O)C(=O)[C@H](OC)[C@H](O)[C@@H](O)[C@H](O)\C=C\C(C)(C)C,
DB03397,experimental,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,CHEMBL388154
DB03399,experimental,CC[N+]#C,
DB03400,experimental,CC1=CC=C(CCC(O)=O)C=C1,
DB03401,experimental,O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O,CHEMBL279107
DB03402,experimental,[H][C@@](C)(CCCC(C)C)CCC[C@@]([H])(C)CCC[C@@]([H])(C)CCOC[C@@]([H])(COP(O)(O)=O)OCC[C@]([H])(C)CCC[C@]([H])(C)CCC[C@]([H])(C)CCCC(C)C,
DB03403,experimental,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,CHEMBL307679
DB03405,experimental,[H]N([C@@H](CC(C)C)C(=O)N([H])[C@@H]1CN(CC1=O)C(=O)[C@H](CC(C)C)N([H])C(=O)OCC1=CC=CC=C1)C(=O)OCC1=CC=CC=C1,
DB03406,experimental,[H][C@@]1(O)[C@@]([H])(O)[C@@]([H])(OC)O[C@]([H])(CO)[C@@]1([H])S,
DB03407,experimental,OC1=CC=C(C=C1O)[N+]([O-])=O,CHEMBL42423
DB03408,experimental,N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O,CHEMBL460831
DB03409,experimental,[H][C@]12C[C@H](N[C@@]1([H])CCCC2)C(O)=O,
DB03410,experimental,OC1=CC(=O)OC2=CC=CC=C12,CHEMBL301141
DB03411,experimental,OC[C@@H]1NC[C@H](O)[C@H]1O,CHEMBL406973
DB03412,experimental,N[C@@H](CCCCO)C(O)=O,CHEMBL1233976
DB03413,experimental,O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O,CHEMBL9519
DB03414,experimental,[H][C@]1(N)S[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]1([H])O,
DB03415,experimental,CCCCCSCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,
DB03416,experimental,CC1=C(CCO[P@](O)([O-])=O)SC=[N+]1CC1=CN=C(C)N=C1N,CHEMBL1236378
DB03417,experimental,[H]N([H])C(=NCCC[C@@H](C=O)[C@H](N([H])C(=O)N1CCN(CC1)C(=O)N([H])C(C)(C)C)C(O)=O)N([H])[H],
DB03418,experimental,CC(=O)C1=C(C)C2=CC3=C(C(O)=C)C(C)=C4C=C5N6C(=CC7=C(CCC(O)=O)C(C)=C8C=C1N2[Fe]6(N78)N34)C(CCC(O)=O)=C5C,
DB03419,experimental; investigational,O=C1NC=CC(=O)N1,CHEMBL566
DB03420,experimental,[H][C@]1(O[C@H](C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,
DB03421,experimental,O=C1NN(CCC2=CC=CC=C2)C(=O)C2=C1C=CC=C2,
DB03422,experimental,OC(=O)C1=CSC=N1,CHEMBL1236484
DB03423,experimental,[H][C@](N)(CC[Se]C[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C(O)=O,
DB03424,investigational,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)CC1=CC=CC=C1)C(O)=O,CHEMBL29292
DB03425,experimental,[H][C@@](C)(C[C@]([H])(N)C(O)=O)C([O-])=O,
DB03426,experimental,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(CO[C@]1([H])O[C@]([H])(CO[C@@]2([H])O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O)OC(=O)CCCCCCCCCCCCCCCCC,
DB03427,experimental,[H]N([H])[C@@H](CCCC(=O)N([H])[C@@H](CS)C(=O)N([H])[C@H](C=C)C(O)=O)C(O)=O,
DB03428,experimental,COC1=CC=C2NC(=O)\C(=C/C3=CN=CN3)C2=C1,CHEMBL258805
DB03429,experimental,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OCC(O)COP(O)(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,
DB03430,experimental,O[C@H](C#N)C1=CC=C(O)C=C1,
DB03432,experimental,C[C@H](CN)C([O-])=O,
DB03433,experimental,C[C@H](CNCC1=C(O)C(C)=NC=C1COP(O)(O)=O)OP(O)(O)=O,
DB03434,experimental,OS(=O)(=O)CCCN1CCOCC1,CHEMBL1234443
DB03435,experimental,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O,CHEMBL130266
DB03436,experimental,[Ga+3].CC(=O)N([O-])CCC[C@H]1\N=C(O)\C\N=C(O)\[C@H](CO)\N=C(O)\C\N=C(O)\[C@H](CCCN([O-])C(C)=O)\N=C(O)\C(CCCN([O-])C(C)=O)\N=C1/O,
DB03437,experimental,[H]N([H])C1=NC(=CS1)C(=N\OC)\C(=O)N([H])[C@H](C=O)[C@@]1([H])SC(C)(C)[C@@H](N1[H])C(O)=O,
DB03438,experimental,[H][C@](O)(CO)COP([O-])(=O)OC[C@@]([H])(O)COC(=O)CCCCCCCCCCCCCCC,
DB03439,experimental,[H][C@]1(C)O[C@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])N,
DB03440,experimental,CCCCCCCCCCCCCCCC(=O)NCC(O)=O,CHEMBL226117
DB03441,experimental,[H][C@@](CI)(CC1=CC=CC=C1)C(O)=O,
DB03442,experimental,CC1=NN(C(O)=C1\N=N\C1=CC(=CC=C1C(O)=O)S(O)(=O)=O)C1=C(C)C=C(C=C1)S(O)(=O)=O,
DB03443,experimental,NC(N)C1=CC2=C(C=C1)[N+]1=C(N2)C(=O)C2=[N+]([Zn]1)C1=C(N2)C=C(C=C1)C(N)N,
DB03444,experimental,O\N=C1\C(\NC2=C\1C=CC=C2)=C1\C(=O)NC2=CC(Br)=CC=C12,CHEMBL409450
DB03445,experimental,CC(CN1C=CN=N1)([C@@H](N\C=C\C=O)C(O)=O)S(=O)=O,
DB03446,experimental,[H][C@]1(CO)O[C@]([H])(OC2=CC=CC(=C2)C(=O)NCC2=CC=CC=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,
DB03447,experimental,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)O[C@@H]4[C@H](O)[C@@H](CO)O[C@H]4N4C=CC(=O)NC4=O)[C@@H](O)[C@H]3O)C2=NC=N1,
DB03448,experimental,OC[C@H]1O[C@H](C[C@@H]1OP(O)(O)=O)N1C=CC(=O)NC1=O,
DB03449,experimental,[H]N([H])C(=N/C1=CC=C(CCN([H])CC2=CC(Cl)=CC=C2)C=C1)\C1=CC=CS1,CHEMBL293212
DB03450,experimental,[H][C@@](NC(=O)CC1=CC=CS1)(C=O)[C@]1([H])NC(C(O)=O)=C(CC(=O)OC)CS1,
DB03451,experimental,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@@H](C)OCCCC(O)(CC)CC,CHEMBL432600
DB03452,experimental,C[Si](C)(C)C(CC(O)=O)C(O)=O,
DB03453,experimental,[H]N=C(N([H])[H])N1CCC[C@H](CC(=O)N([H])[C@@H](CC2=CC=C(C=C2)C#CC2=CC=CC=C2)C(=O)OC)C1,CHEMBL419362
DB03454,experimental,CC1=CC=CC(O)=C1O,CHEMBL1173328
DB03455,experimental,[H][C@](NOCCS)(C(O)=O)C1=CNC2=C1C=CC=C2,
DB03456,experimental,[H][C@@](CC(C)C)(NC(=O)OCC1=CC=CC=C1)C(=O)N[C@]1([H])CCN(C1)C#N,
DB03458,experimental,CN(CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12,CHEMBL1235825
DB03459,experimental,[H]N([C@@H](CC(O)=O)C(O)=O)C(=O)CP(O)(O)=O,CHEMBL504802
DB03460,experimental,C\C(\C=C\C=C(/C)\C=C\[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C,
DB03461,experimental,NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,CHEMBL295069
DB03462,experimental,CC1=CNC(=O)NC1=O,CHEMBL993
DB03464,experimental,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(C2=C3N=CN=C(N)C3=NN2)[C@]([H])(O)[C@]1([H])O,
DB03466,experimental,CC1(C)CCC(C)(C)C2=C1C=CC(=C2)[C@@H](O)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O,CHEMBL81273
DB03467,experimental,[H][C@]1(CC(=O)C2=C(O1)C=C(O)C=C2O)C1=CC=C(O)C=C1,CHEMBL9352
DB03468,experimental,NS(=O)(=O)C1=CC2=C(CCNC2)C=C1,CHEMBL26717
DB03469,experimental,CC1=C(CCC(O)=O)C2=CC3=C(CCC(O)=O)C(C)=C4C=C5[N+]6=C(C=C7N8C(C=C1N2[Fe]68N34)=C([O-])[C@]7(C)CC(O)=O)C(=O)[C@]5(C)CC(O)=O,
DB03470,experimental,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)NCCCCNCCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H](N)C(O)=O)C(O)=O,
DB03471,experimental,[H]N([C@@H](CCC(O)=O)CCC1=CC=CC=C1)C(=O)CCCCCCC1=CC=CC=C1,
DB03472,experimental,[H][C@]1(CO)O[C@]([H])(O[C@]2([H])[C@@]([H])(CO)O[C@@]([H])(OCCCCCCC3CCCCC3)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,
DB03473,experimental,CNC(=O)CC[C@H](N)C(O)=O,
DB03474,experimental,NC1=NC(NC2=CC(=CC3=C2C(O)=C(\N=N\C2=CC=CC=C2S(O)(=O)=O)C(=C3)S(O)(=O)=O)S(O)(=O)=O)=NC(N)=N1,
DB03475,experimental,CCC(CC)NC1=CC(=CC=C1N1C(=O)CCC1(CO)CO)C(O)=O,CHEMBL307189
DB03476,experimental,[H][C@]1(C[C@@]1([H])C1=CC2=CC=C(C=C2C=C1)C(N)=N)C1=CC=CC=C1,
DB03477,experimental,NS(=O)(=O)C1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(Br)C=C1)C(F)(F)F,CHEMBL1235806
DB03478,experimental,[H][C@]1(O)O[C@]([H])(COP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)[C@@]([H])(O)[C@@]1([H])OC(C)=O,
DB03479,experimental,CN1C(=O)N[C@@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,CHEMBL593791
DB03480,experimental,CC1=C(N=C2C=CC(F)=CC2=C1C(O)=O)C1=CC=C(C=C1)C1=CC=CC=C1,CHEMBL220467
DB03481,experimental,C[C@H]1[C@@H]2[C@@H](C)NC3=C(N2CN1C1=CC=C(C[C@@H](O)[C@@H](O)[C@H](O)CO[C@H]2O[C@H](CO[P@@](O)(=O)O[C@@H](CCC(O)=O)C(O)=O)[C@@H](O)[C@@H]2O)C=C1)C(=O)NC(N)=N3,
DB03482,experimental,[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OC[C@@H](O)[C@@H](O)[C@@H](O)CN4C5=C(C=C(C)C(=C5)N(C)C)N=C5C(=O)N([H])C(=O)N=C45)[C@@H](O)[C@H]3O)C2=NC=N1,
DB03483,experimental,[H]N([H])C(=O)[C@H](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)N([H])C(=O)[C@H](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)N([H])C(=O)[C@H](CCC(O)=O)N([H])C(=O)C1=CC=CC=C1,
DB03484,experimental,[H][C@](O)(CO)COP(O)(=O)OCCN,
DB03485,experimental,C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,CHEMBL609880
DB03486,experimental,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)CP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1,CHEMBL1164951
DB03487,experimental,[H]N1C(=O)C[C@H](N)C1=O,
DB03488,experimental,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](F)[C@@H](O)[C@@H]1O,CHEMBL593830
DB03489,experimental,OC[C@H](O)[C@@H](O)CC(=O)C(O)=O,
DB03490,experimental,C1C2=C(C=CC=C2)C2=NNC(=C12)C1=CC=NC=C1,CHEMBL1234009
DB03491,experimental,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1,CHEMBL1232205
DB03492,experimental,C1=CN(C=N1)[Os++]123[N]4=CC=CC=C4C4=[N]1C=CC=C4.C1=CC(C4=CC=CC=[N]24)=[N]3C=C1,
DB03493,experimental,CN1C=[N+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C2=C1C(=O)N=C(N)N2,CHEMBL1234293
DB03495,experimental,[H][C@]1(C)O[C@]([H])(O[C@]2([H])[C@@]([H])(CO)O[C@]([H])(OC[C@@]3([H])O[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])N[C@@]1([H])C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O,CHEMBL1233515
DB03496,experimental; investigational,CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl,CHEMBL428690
DB03497,experimental,N[C@@H](COS(O)(=O)=O)C(O)=O,CHEMBL28885
DB03498,experimental,[O-]P([O-])(=O)CS,
DB03499,experimental,O[C@H](CC(O)=O)C(O)=O,CHEMBL225986
DB03500,experimental,CCCCCCCCCCCCCCCCCCCCCCC(O)=O,CHEMBL1173462
DB03501,experimental,OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O,CHEMBL439009
DB03502,experimental,[H][C@](O)(C[C@]([H])(N)C(O)=O)SC[C@]([H])(N)C(O)=O,
DB03503,experimental,CCCN(C)C(=O)[C@@H]1OC(=C[C@H](NC(N)=N)[C@H]1NC(C)=O)C(O)=O,CHEMBL300461
DB03504,experimental,CCCCN1C(CC2=CC(OC)=C(OC)C(OC)=C2Cl)=NC2=C(N)N=CN=C12,CHEMBL112896
DB03505,experimental,NC1=CC2=C(O)N=C(N)N=C2C=C1,
DB03506,experimental,NC1=NC=NC2=C1NC=C2,
DB03507,experimental,[O-][N+](=O)C1=CC(=CC=C1)C1=CC2=C(S1)C=C1N2C(=S)N(CCCN2CCOCC2)C1=O,
DB03508,experimental,CCOCCOCCOC,
DB03509,experimental,NC(=O)C1=CC=CC2=NC=C(N=C12)C1=CC=C(Cl)C=C1,
DB03510,experimental,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C2N=CN=C3OP(O)(O)=O)[C@]([H])(O)[C@]1([H])O,
DB03511,experimental,O[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O,
DB03512,experimental,OC[C@@H]1O[C@H]([C@H]2O[V](O)(O)(=O)O[C@H]12)N1C=CC(=O)NC1=O,
DB03513,experimental,[H][C@](N)(CC1=CNC2=C1[Se]C=C2)C(O)=O,
DB03514,experimental,COC1=C(O)C=CC(C=C)=C1,CHEMBL1232595
DB03515,experimental,[H][C@@]12CCC(=O)[C@@]1(C)CCC1=C2C=CC2=C1C=CC(O)=C2,CHEMBL225546
DB03516,investigational,O=C1NC=C(C#C)C(=O)N1,CHEMBL355200
DB03517,experimental,CSCC([O-])=O,
DB03518,experimental,C[C@@](O)(CCO)CC(O)=O,CHEMBL1794734
DB03520,experimental,FC1=NC2=C(N=CN2)C(Cl)=N1,
